- Johan Jeldes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Bayron Levín | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Álex Pailamilla | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 35. Johan Jeldres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Oliden | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Daniel Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Aravena | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Brayan Ríos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Johan Gamboa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Nicolás Gómez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Lagos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Poblete | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yenko Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Paz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Amaro Amengual | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Mateo Cabrera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Edruan Paredes | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Gacitúa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Arenas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eliel Aldana | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tayson Chandía | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Moreno | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Véliz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Axel Inostroza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Lara Bruzzone | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Raniery Figueroa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Steven Donoso | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Suazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Adrián Obando | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
