- 1. Ivana González Portera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Francisca Abarca Portera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Antonia Maldonado Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Fuentes Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tania Saavedra Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Yanitza Contreras Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Deschamps | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Diego Díaz Ahumada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Yerson Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Godoy | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Francisco Rolando Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Carlos Matías Pavez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Zúñiga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Diego Pezoa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Mauro Quiroga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Ricardo Blanco (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Nicolás Gauna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- André Jerez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Nelson Rebolledo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Carlos Espinosa | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Daniel Franco | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Franco Bechtholdt | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Martín Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Ormazábal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Reynero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yashir Islame Pinto​ | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Díaz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Gabriel Vargas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
