- Rodrigo Auzmendi (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Azócar Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Scarleth Díaz Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pérez Catalán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Araya (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Exequiel Márquez (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Bianca Aguilera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Katary Navarro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Camarda (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Minoban Becerra (2000) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Gauna (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Riquelme (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Adriano Galleguillos (2007) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Maluenda (2004) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Guerreño (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- D'Hidier Pereira (2008) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Zamora Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Giselda Choque Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alfredo Ábalos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Zarella Angulo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Reyes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Zedán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Felipe Cornejo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hernán Peña Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Sebastián Prado Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Kenny Mamani Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Raúl Figueroa Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
