- Valentina Tapia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Kiara Valencia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nayeli Mickelson Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Richard Paredes Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- José Pablo Monreal Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Vega (2008) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Gallegos (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gerardo Ameli Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gerardo Ameli (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Walter Fiori (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan Manuel Azconzábal (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Almandoz (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Héctor Tapia Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Reveco Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan José Ribera Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luciano Poggi Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Richard Olivares Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Francisco Espinoza Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Mariano Rodríguez (VEN) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Juan Domingo Tolisano (VEN) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Javier Torrente (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Diego Torrente (ARG) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. John Armijo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Angie Vega (COL) Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Quemel Farías Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Aldo Chanampa Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Fabián Castillo Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Álex Castro Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Yerko Ulloa Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Hernán Peña Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Carlos Escudero Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Luis Marcoleta Entrenador | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Liseth Gárnica (COL) Portera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Martina Oyanader Portera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Paola Solar Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Thyare Tapia Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Melany Letelier Delantera | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Garcés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Hardy Cavero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Romo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Gonzalo Villagra | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Cristián Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Asta-buruaga | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Renato González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Augusto Barrios | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Flavio Ciampichetti (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Juan Muriel Orlando | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Hurtado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Paulo Magalhães | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jason Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Flores | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Gabriel Sandoval | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Luis Marcelo Salas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Eduard Bello (VEN) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Lepe | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Salvador Cordero | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Matías Parada | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Patricio Jerez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Araya | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Francisco Sasmay | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Contreras (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Ballesteros | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Cisternas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Alexander Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Duma | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Chriss Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gerardo Ameli | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Luis Valenzuela | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- DT. Gerardo Ameli (ARG) | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Nieto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
