- 9. Alan Murialdo (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Rodolfo Gamarra (PAR) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 37. Leonardo Olivera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Osses (2002) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Óscar Salinas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 36. John Riascos (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Facundo Castro (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Sebastián Pol Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Donoso Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Carrasco (2005) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Hurtado (VEN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicole Monrroy Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Cecilio Waterman (PAN) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Lezcano (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Anaís Figueroa Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- César Munder Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Soto Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Castro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco García (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Leslie García Salinas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nathalia Ramírez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Di Maio (ARG) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Joshua Ortiz (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Barrientos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Coelho (URU) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Lobos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Yair Guzmán (2008) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Moreno (2006) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Vallecilla (COL) Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
